ID,name,userID,cpu,motherboard,ram,gpu,storage,psu
B1,AimerYoasobiTeaTime,U1,C63,M208,R54,G57,S14,P2
B2,NyaronsAimerWomble,U1,C15,M197,R53,G45,S17,P10
B3,UpliftSpiceDAOKOTeaTime,U1,C28,M191,R57,G59,S18,P2
B4,YoasobiTeaTimeYoh,U1,C28,M174,R52,G19,S16,P2
B5,TeaTimeNyaronsKradness,U1,C25,M176,R54,G46,S20,P2
B6,WombleNierDECO*27,U2,C83,M353,R52,G60,S16,P3
B7,NierKradnessNier,U2,C82,M362,R58,G57,S15,P8
B8,AimerNyaronsDAOKO,U2,C13,M185,R58,G19,S20,P12
B9,FrouNierAimer,U2,C27,M124,R53,G47,S14,P1
B10,DECO*27YuiWomble,U2,C95,M357,R58,G48,S15,P11
B11,MafuDECO*27Frou,U3,C25,M132,R53,G19,S19,P1
B12,YohYuiYui,U3,C15,M196,R58,G47,S15,P6
B13,YoasobiYohDECO*27,U3,C2,M195,R57,G60,S14,P6
B14,UpliftSpiceYuiYui,U3,C13,M138,R55,G68,S16,P4
B15,MafuYohDAOKO,U3,C1,M144,R51,G58,S14,P5
B16,YoasobiDAOKOTeaTime,U4,C93,M349,R58,G45,S15,P10
B17,FrouNyaronsDECO*27,U4,C15,M199,R59,G60,S17,P2
B18,YoasobiFrouNyarons,U4,C1,M150,R52,G17,S19,P1
B19,DECO*27YoasobiKradness,U4,C28,M62,R58,G19,S14,P12
B20,DECO*27NierYoh,U4,C13,M151,R54,G45,S15,P11
B21,TeaTimeKradnessTeaTime,U5,C1,M134,R51,G48,S17,P1
B22,YuiYoasobiMiku,U5,C27,M57,R59,G60,S20,P9
B23,FrouYohKradness,U5,C1,M116,R57,G43,S14,P6
B24,FrouKradnessYui,U5,C1,M176,R55,G58,S20,P2
B25,FrouEurekaDECO*27,U5,C28,M134,R58,G20,S17,P2
B26,YohNierUpliftSpice,U6,C27,M187,R56,G60,S15,P1
B27,UpliftSpiceMikuMiku,U6,C1,M152,R55,G62,S15,P1
B28,NierMikuDAOKO,U6,C64,M205,R59,G44,S18,P2
B29,YuiYohNyarons,U6,C27,M131,R56,G60,S18,P4
B30,NierYoasobiMafu,U6,C62,M206,R58,G46,S19,P10
B31,TeaTimeNyaronsWomble,U7,C64,M215,R51,G57,S15,P8
B32,MikuAimerKradness,U7,C28,M198,R54,G62,S17,P10
B33,TeaTimeYoasobiEureka,U7,C13,M182,R53,G61,S14,P8
B34,WombleFrouNyarons,U7,C64,M215,R54,G43,S18,P11
B35,DAOKOYohKradness,U7,C61,M207,R57,G46,S19,P5
B36,YoasobiYuiMafu,U8,C1,M128,R51,G48,S19,P7
B37,WombleYuiWomble,U8,C27,M65,R56,G63,S18,P5
B38,DAOKOTeaTimeAimer,U8,C15,M173,R52,G48,S20,P8
B39,EurekaEurekaNyarons,U8,C95,M361,R51,G48,S16,P1
B40,DECO*27MikuEureka,U8,C13,M172,R59,G41,S18,P3
B41,TeaTimeMikuYui,U9,C95,M359,R57,G66,S15,P3
B42,MafuUpliftSpiceTeaTime,U9,C61,M206,R59,G19,S19,P12
B43,TeaTimeYoasobiDECO*27,U9,C15,M191,R58,G20,S15,P1
B44,KradnessKradnessWomble,U9,C61,M211,R55,G18,S16,P4
B45,KradnessNyaronsDECO*27,U9,C64,M224,R53,G64,S15,P7
B46,TeaTimeDECO*27Yui,U10,C25,M136,R56,G45,S18,P12
B47,NyaronsMafuKradness,U10,C27,M175,R54,G61,S15,P4
B48,MafuYohYui,U10,C28,M84,R57,G47,S15,P7
B49,YohAimerDAOKO,U10,C82,M352,R51,G18,S17,P1
B50,FrouNyaronsMafu,U10,C25,M172,R57,G43,S14,P9
B51,NierUpliftSpiceNier,U11,C27,M169,R59,G65,S16,P5
B52,MafuMikuYoasobi,U11,C27,M54,R51,G63,S14,P7
B53,FrouMikuFrou,U11,C25,M125,R54,G41,S17,P3
B54,UpliftSpiceEurekaNier,U11,C95,M347,R58,G19,S19,P11
B55,KradnessDAOKOMiku,U11,C83,M352,R59,G60,S18,P1
B56,MafuNierYoasobi,U12,C28,M114,R52,G57,S15,P7
B57,YuiTeaTimeNyarons,U12,C85,M355,R55,G57,S18,P4
B58,KradnessTeaTimeDECO*27,U12,C27,M132,R54,G47,S15,P7
B59,NierTeaTimeAimer,U12,C1,M142,R51,G63,S18,P3
B60,TeaTimeWombleMiku,U12,C93,M358,R52,G44,S17,P12
B61,YohMafuFrou,U13,C27,M71,R51,G19,S14,P10
B62,YohMikuNier,U13,C2,M146,R52,G20,S19,P7
B63,YohEurekaTeaTime,U13,C63,M310,R52,G61,S14,P5
B64,DECO*27UpliftSpiceEureka,U13,C27,M35,R58,G41,S19,P3
B65,EurekaEurekaUpliftSpice,U13,C15,M126,R52,G67,S19,P5
B66,DAOKONyaronsDAOKO,U14,C93,M349,R53,G59,S19,P5
B67,UpliftSpiceNierYui,U14,C13,M172,R53,G41,S19,P9
B68,KradnessDAOKONyarons,U14,C25,M131,R58,G41,S18,P1
B69,AimerMafuMiku,U14,C28,M74,R55,G42,S18,P5
B70,DECO*27EurekaWomble,U14,C1,M120,R54,G59,S20,P12
B71,YohYohAimer,U15,C1,M145,R58,G46,S18,P3
B72,MikuYoasobiNyarons,U15,C64,M223,R56,G64,S15,P5
B73,MafuKradnessMafu,U15,C28,M78,R55,G18,S20,P11
B74,DAOKOFrouAimer,U15,C28,M149,R53,G62,S14,P9
B75,MafuNyaronsFrou,U15,C64,M229,R53,G67,S20,P8
B76,NierNyaronsMiku,U16,C28,M112,R54,G66,S17,P4
B77,EurekaFrouDECO*27,U16,C64,M261,R54,G68,S15,P5
B78,MafuNyaronsKradness,U16,C28,M181,R52,G19,S20,P5
B79,YoasobiYoasobiAimer,U16,C1,M127,R57,G20,S17,P7
B80,DECO*27MafuAimer,U16,C27,M56,R54,G62,S20,P12
B81,DAOKOAimerKradness,U17,C25,M173,R51,G61,S19,P7
B82,MafuDECO*27Kradness,U17,C25,M138,R59,G65,S19,P3
B83,FrouAimerTeaTime,U17,C64,M208,R56,G61,S19,P4
B84,DECO*27MikuFrou,U17,C28,M169,R57,G17,S17,P7
B85,WombleMafuEureka,U17,C63,M312,R51,G57,S18,P6
B86,NyaronsMikuNyarons,U18,C80,M362,R52,G18,S20,P11
B87,NyaronsNierMiku,U18,C2,M191,R56,G43,S14,P8
B88,MikuFrouNyarons,U18,C25,M133,R52,G59,S20,P10
B89,WombleMikuEureka,U18,C2,M135,R58,G43,S14,P8
B90,AimerNyaronsAimer,U18,C1,M127,R52,G43,S19,P8
B91,EurekaAimerNyarons,U19,C28,M131,R57,G66,S18,P2
B92,WombleAimerYoh,U19,C64,M207,R54,G57,S16,P10
B93,EurekaTeaTimeKradness,U19,C63,M227,R51,G63,S20,P5
B94,TeaTimeNierNyarons,U19,C13,M120,R51,G65,S16,P11
B95,YoasobiYoasobiWomble,U19,C2,M198,R53,G17,S14,P1
B96,UpliftSpiceDAOKODAOKO,U20,C61,M223,R53,G41,S18,P9
B97,KradnessYohKradness,U20,C25,M131,R52,G65,S18,P7
B98,NyaronsWombleEureka,U20,C84,M352,R54,G66,S15,P3
B99,YohNierYui,U20,C2,M113,R58,G20,S17,P9
B100,DECO*27KradnessKradness,U20,C61,M261,R57,G62,S14,P4
B101,EurekaEurekaAimer,U21,C13,M140,R53,G66,S17,P3
B102,DECO*27NierAimer,U21,C61,M228,R58,G63,S19,P5
B103,NierYoasobiYoh,U21,C62,M229,R56,G17,S20,P3
B104,YohDECO*27Womble,U21,C15,M139,R52,G63,S18,P9
B105,DECO*27YuiMiku,U21,C27,M121,R57,G62,S19,P6
B106,UpliftSpiceAimerEureka,U22,C28,M45,R58,G17,S15,P9
B107,DECO*27UpliftSpiceNyarons,U22,C25,M191,R53,G20,S20,P1
B108,AimerNierYoh,U22,C95,M354,R58,G68,S15,P3
B109,DAOKOYoasobiYui,U22,C27,M110,R58,G48,S16,P10
B110,DECO*27AimerMafu,U22,C25,M147,R56,G42,S18,P1
B111,WombleYohYoh,U23,C13,M115,R55,G61,S14,P6
B112,DECO*27WombleYui,U23,C61,M215,R57,G41,S17,P5
B113,DAOKOKradnessAimer,U23,C13,M140,R55,G67,S14,P4
B114,DAOKOFrouEureka,U23,C25,M183,R52,G17,S19,P2
B115,DECO*27NierFrou,U23,C2,M192,R57,G62,S17,P2
B116,TeaTimeTeaTimeFrou,U24,C1,M131,R58,G67,S14,P5
B117,NierTeaTimeUpliftSpice,U24,C61,M265,R53,G41,S15,P5
B118,TeaTimeMikuDAOKO,U24,C63,M207,R52,G68,S14,P10
B119,UpliftSpiceFrouNyarons,U24,C2,M130,R53,G46,S19,P4
B120,KradnessMafuDAOKO,U24,C82,M352,R53,G17,S14,P7
B121,YoasobiYoasobiYoasobi,U25,C82,M360,R58,G41,S14,P11
B122,UpliftSpiceDECO*27DAOKO,U25,C15,M177,R54,G63,S19,P10
B123,AimerWombleKradness,U25,C28,M58,R59,G42,S16,P2
B124,TeaTimeAimerTeaTime,U25,C62,M223,R51,G65,S14,P3
B125,YohEurekaFrou,U25,C80,M354,R57,G64,S16,P7
B126,MafuYohDAOKO,U26,C13,M139,R56,G62,S18,P12
B127,NyaronsWombleMiku,U26,C27,M51,R55,G68,S17,P12
B128,MafuTeaTimeAimer,U26,C27,M187,R56,G57,S17,P11
B129,DAOKONyaronsNier,U26,C1,M127,R52,G43,S16,P7
B130,FrouMikuDECO*27,U26,C28,M175,R56,G46,S17,P6
B131,NierTeaTimeNier,U27,C2,M124,R59,G66,S17,P4
B132,YohYohAimer,U27,C27,M115,R52,G19,S14,P11
B133,MikuKradnessUpliftSpice,U27,C25,M191,R54,G41,S20,P3
B134,NyaronsFrouNyarons,U27,C28,M175,R55,G48,S14,P4
B135,EurekaUpliftSpiceTeaTime,U27,C28,M48,R57,G46,S18,P4
B136,UpliftSpiceYuiFrou,U28,C62,M226,R53,G65,S20,P7
B137,NierMafuTeaTime,U28,C62,M305,R59,G58,S19,P12
B138,DAOKOYoasobiYoasobi,U28,C64,M204,R56,G45,S20,P1
B139,YuiEurekaYoh,U28,C94,M355,R51,G59,S16,P6
B140,DECO*27TeaTimeYui,U28,C95,M360,R52,G65,S20,P9
B141,TeaTimeKradnessYoh,U29,C95,M350,R56,G45,S20,P1
B142,MikuYuiDAOKO,U29,C62,M219,R51,G46,S18,P9
B143,YoasobiAimerEureka,U29,C28,M149,R52,G47,S15,P8
B144,DECO*27UpliftSpiceYoh,U29,C61,M207,R53,G46,S17,P5
B145,EurekaNyaronsNier,U29,C93,M348,R59,G57,S18,P5
B146,WombleUpliftSpiceWomble,U30,C94,M356,R51,G68,S20,P3
B147,YuiNyaronsYoh,U30,C15,M135,R58,G48,S20,P2
B148,MafuDECO*27Nyarons,U30,C28,M78,R57,G68,S15,P6
B149,MafuUpliftSpiceNier,U30,C28,M48,R58,G64,S19,P3
B150,KradnessDECO*27Yoasobi,U30,C83,M348,R56,G42,S16,P9
B151,YohMikuKradness,U31,C2,M195,R58,G41,S17,P12
B152,WombleUpliftSpiceDAOKO,U31,C13,M186,R57,G20,S20,P10
B153,YuiTeaTimeDAOKO,U31,C62,M201,R52,G46,S17,P4
