ID,Name,Manufacturer,Microarchitecture,Core Family,Core Count,No of Threads,Multithreading,Core Clock,Boost Clock,TDP,Socket,Integrated Graphics,Lithography,Class
C1,Ryzen 3 1200,AMD,Zen,Summit Ridge,4,4,NO,3.1,3.4,65,AM4,No,14,ENTRY
C2,Ryzen 3 1300X,AMD,Zen,Summit Ridge,4,4,NO,3.5,3.7,65,AM4,No,14,ENTRY
C3,Ryzen 5 1400,AMD,Zen,Summit Ridge,4,8,YES,3.2,3.4,65,AM4,No,14,MID
C4,Ryzen 5 1500X,AMD,Zen,Summit Ridge,4,8,YES,3.5,3.7,65,AM4,No,14,MID
C5,Ryzen 5 1600,AMD,Zen,Summit Ridge,6,12,YES,3.2,3.6,65,AM4,No,14,MID
C6,Ryzen 5 1600X,AMD,Zen,Summit Ridge,6,12,YES,3.6,4,95,AM4,No,14,MID
C7,Ryzen 7 1700,AMD,Zen,Summit Ridge,8,16,YES,3,3.7,65,AM4,No,14,PRO
C8,Ryzen 7 1700X,AMD,Zen,Summit Ridge,8,16,YES,3.4,3.8,95,AM4,No,14,PRO
C9,Ryzen 7 1800X,AMD,Zen,Summit Ridge,8,16,YES,3.6,4,95,AM4,No,14,PRO
C10,Ryzen Threadripper 1900X,AMD,Zen,Whitehaven,8,16,YES,3.8,4,180,sTR4,No,14,PRO
C11,Ryzen Threadripper 1920X,AMD,Zen,Whitehaven,12,24,YES,3.5,4,180,sTR4,No,14,PRO
C12,Ryzen Threadripper 1950X,AMD,Zen,Whitehaven,16,32,YES,3.4,4,180,sTR4,No,14,PRO
C13,Ryzen 3 2200G,AMD,Zen,Raven Ridge,4,4,NO,3.5,3.7,65,AM4,Radeon Vega 8,14,ENTRY
C14,Ryzen 5 2400G,AMD,Zen,Raven Ridge,4,8,YES,3.6,3.9,65,AM4,Radeon Vega 11,14,MID
C15,Ryzen 3 1200 AF,AMD,Zen+,Pinnacle Ridge,4,4,NO,3.1,3.4,65,AM4,No,12,ENTRY
C16,Ryzen 5 1600 AF,AMD,Zen+,Pinnacle Ridge,6,12,YES,3.2,3.6,65,AM4,No,12,MID
C17,Ryzen 5 2600,AMD,Zen+,Pinnacle Ridge,6,12,YES,3.4,3.9,65,AM4,No,12,MID
C18,Ryzen 5 2600X ,AMD,Zen+,Pinnacle Ridge,6,12,YES,3.6,4.2,95,AM4,No,12,MID
C19,Ryzen 7 2700,AMD,Zen+,Pinnacle Ridge,8,16,YES,3.2,4.1,65,AM4,No,12,PRO
C20,Ryzen 7 2700X,AMD,Zen+,Pinnacle Ridge,8,16,YES,3.7,4.3,105,AM4,No,12,PRO
C21,Ryzen Threadripper 2920X,AMD,Zen+,Colfax,12,24,YES,3.5,4.3,180,sTR4,No,12,PRO
C22,Ryzen Threadripper 2950X,AMD,Zen+,Colfax,16,32,YES,3.5,4.4,180,sTR4,No,12,PRO
C23,Ryzen Threadripper 2970WX,AMD,Zen+,Colfax,24,48,YES,3,4.2,250,sTR4,No,12,PRO
C24,Ryzen Threadripper 2990WX,AMD,Zen+,Colfax,32,64,YES,3,4.2,250,sTR4,No,12,PRO
C25,Ryzen 3 3200G,AMD,Zen+,Picasso,4,4,NO,3.6,4,65,AM4,Radeon Vega 8,12,ENTRY
C26,Ryzen 5 3400G,AMD,Zen+,Picasso,4,8,YES,3.7,4.2,65,AM4,Radeon Vega 11,12,MID
C27,Ryzen 3 3100,AMD,Zen 2,Matisse,4,8,YES,3.6,3.9,65,AM4,No,7,ENTRY
C28,Ryzen 3 3300X,AMD,Zen 2,Matisse,4,8,YES,3.8,4.3,65,AM4,No,7,ENTRY
C29,Ryzen 5 3600,AMD,Zen 2,Matisse,6,12,YES,3.6,4.2,65,AM4,No,7,MID
C30,Ryzen 5 3600X,AMD,Zen 2,Matisse,6,12,YES,3.8,4.4,95,AM4,No,7,MID
C31,Ryzen 5 3600XT,AMD,Zen 2,Matisse,6,12,YES,3.8,4.5,95,AM4,No,7,MID
C32,Ryzen 7 3700X,AMD,Zen 2,Matisse,8,16,YES,3.6,4.4,65,AM4,No,7,PRO
C33,Ryzen 7 3800X,AMD,Zen 2,Matisse,8,16,YES,3.9,4.5,105,AM4,No,7,PRO
C34,Ryzen 7 3800XT,AMD,Zen 2,Matisse,8,16,YES,3.9,4.7,105,AM4,No,7,PRO
C35,Ryzen 9 3900X,AMD,Zen 2,Matisse,12,24,YES,3.8,4.6,105,AM4,No,7,PRO
C36,Ryzen 9 3900XT,AMD,Zen 2,Matisse,12,24,YES,3.8,4.7,105,AM4,No,7,PRO
C37,Ryzen 9 3950X,AMD,Zen 2,Matisse,16,32,YES,3.5,4.7,105,AM4,No,7,PRO
C38,Ryzen Threadripper 3960X,AMD,Zen 2,Castle Peak,24,48,YES,3.8,4.5,280,sTRX4,No,7,PRO
C39,Ryzen Threadripper 3970X,AMD,Zen 2,Castle Peak,32,64,YES,3.7,4.5,280,sTRX4,No,7,PRO
C40,Ryzen Threadripper 3990X,AMD,Zen 2,Castle Peak,64,128,YES,2.9,4.3,280,sTRX4,No,7,PRO
C41,Ryzen 5 5600X,AMD,Zen 3,Vermeer,6,12,YES,3.7,4.6,65,AM4,No,7,MID
C42,Ryzen 7 5800X,AMD,Zen 3,Vermeer,8,16,YES,3.8,4.7,105,AM4,No,7,PRO
C43,Ryzen 9 5900X,AMD,Zen 3,Vermeer,12,24,YES,3.7,4.8,105,AM4,No,7,PRO
C44,Ryzen 9 5950X,AMD,Zen 3,Vermeer,16,32,YES,3.4,4.9,105,AM4,No,7,PRO
C45,Core i9-10900K,Intel,Comet Lake,Comet Lake,10,20,YES,3.7,5.3,125,LGA 1200,Intel UHD Graphics 630,14,PRO
C46,Core i9-10900KF,Intel,Comet Lake,Comet Lake,10,20,YES,3.7,5.3,125,LGA 1200,No,14,PRO
C47,Core i9-10900,Intel,Comet Lake,Comet Lake,10,20,YES,2.8,5.2,65,LGA 1200,Intel UHD Graphics 630,14,PRO
C48,Core i9-10900F,Intel,Comet Lake,Comet Lake,10,20,YES,2.8,5.2,65,LGA 1200,No,14,PRO
C49,Core i9-10900X,Intel,Cascade Lake,Cascade Lake-X,10,20,YES,3.7,4.7,165,LGA 2066,No,14,PRO
C50,Core i9-10850K,Intel,Comet Lake,Comet Lake,10,20,YES,3.6,5.2,125,LGA 1200,Intel UHD Graphics 630,14,PRO
C51,Core i7-10700K,Intel,Comet Lake,Comet Lake,8,16,YES,3.8,5.1,125,LGA 1200,Intel UHD Graphics 630,14,PRO
C52,Core i7-10700KF,Intel,Comet Lake,Comet Lake,8,16,YES,3.8,5.1,125,LGA 1200,No,14,PRO
C53,Core i7-10700,Intel,Comet Lake,Comet Lake,8,16,YES,2.9,4.8,65,LGA 1200,Intel UHD Graphics 630,14,PRO
C54,Core i7-10700F,Intel,Comet Lake,Comet Lake,8,16,YES,2.9,4.8,65,LGA 1200,No,14,PRO
C55,Core i5-10600K,Intel,Comet Lake,Comet Lake,6,12,YES,4.1,4.8,125,LGA 1200,Intel UHD Graphics 630,14,PRO
C56,Core i5-10600KF,Intel,Comet Lake,Comet Lake,6,12,YES,4.1,4.8,125,LGA 1200,No,14,MID
C57,Core i5-10600,Intel,Comet Lake,Comet Lake,6,12,YES,3.3,4.8,65,LGA 1200,Intel UHD Graphics 630,14,MID
C58,Core i5-10500,Intel,Comet Lake,Comet Lake,6,12,YES,3.1,4.5,65,LGA 1200,Intel UHD Graphics 630,14,MID
C59,Core i5-10400,Intel,Comet Lake,Comet Lake,6,12,YES,2.9,4.3,65,LGA 1200,Intel UHD Graphics 630,14,MID
C60,Core i5-10400F,Intel,Comet Lake,Comet Lake,6,12,YES,2.9,4.3,65,LGA 1200,No,14,MID
C61,Core i3-10320,Intel,Comet Lake,Comet Lake,4,8,YES,3.8,4.6,65,LGA 1200,Intel UHD Graphics 630,14,ENTRY
C62,Core i3-10300,Intel,Comet Lake,Comet Lake,4,8,YES,3.7,4.4,65,LGA 1200,Intel UHD Graphics 630,14,ENTRY
C63,Core i3-10100,Intel,Comet Lake,Comet Lake,4,8,YES,3.6,4.3,65,LGA 1200,Intel UHD Graphics 630,14,ENTRY
C64,Core i3-10100F,Intel,Comet Lake,Comet Lake,4,8,YES,3.6,4.3,65,LGA 1200,No,14,ENTRY
C65,Core i9-9900KS,Intel,Coffee Lake Refresh,Coffee Lake Refresh,8,16,YES,4,5,127,LGA 1151,Intel UHD Graphics 630,14,PRO
C66,Core i9-9900K,Intel,Coffee Lake Refresh,Coffee Lake Refresh,8,16,YES,3.6,5,95,LGA 1151,Intel UHD Graphics 630,14,PRO
C67,Core i9-9900,Intel,Coffee Lake Refresh,Coffee Lake Refresh,8,16,YES,3.1,5,65,LGA 1151,Intel UHD Graphics 630,14,PRO
C68,Core i9-9900KF,Intel,Coffee Lake Refresh,Coffee Lake Refresh,8,16,YES,3.6,5,95,LGA 1151,No,14,PRO
C69,Core i7-9700K,Intel,Coffee Lake Refresh,Coffee Lake Refresh,8,8,NO,3.6,4.9,95,LGA 1151,Intel UHD Graphics 630,14,PRO
C70,Core i7-9700,Intel,Coffee Lake Refresh,Coffee Lake Refresh,8,8,NO,3,4.7,65,LGA 1151,Intel UHD Graphics 630,14,PRO
C71,Core i7-9700F,Intel,Coffee Lake Refresh,Coffee Lake Refresh,8,8,NO,3,4.7,65,LGA 1151,No,14,PRO
C72,Core i7-9700KF,Intel,Coffee Lake Refresh,Coffee Lake Refresh,8,8,NO,3.6,4.9,95,LGA 1151,No,14,PRO
C73,Core i5-9600K,Intel,Coffee Lake Refresh,Coffee Lake Refresh,6,6,NO,3.7,4.6,95,LGA 1151,Intel UHD Graphics 630,14,MID
C74,Core i5-9600KF,Intel,Coffee Lake Refresh,Coffee Lake Refresh,6,6,NO,3.7,4.6,95,LGA 1151,No,14,MID
C75,Core i5-9600,Intel,Coffee Lake Refresh,Coffee Lake Refresh,6,6,NO,3.1,4.6,65,LGA 1151,Intel UHD Graphics 630,14,MID
C76,Core i5-9500,Intel,Coffee Lake Refresh,Coffee Lake Refresh,6,6,NO,3,4.4,65,LGA 1151,Intel UHD Graphics 630,14,MID
C77,Core i5-9500F,Intel,Coffee Lake Refresh,Coffee Lake Refresh,6,6,NO,3,4.4,65,LGA 1151,No,14,MID
C78,Core i5-9400,Intel,Coffee Lake Refresh,Coffee Lake Refresh,6,6,NO,2.9,4.1,65,LGA 1151,Intel UHD Graphics 630,14,MID
C79,Core i5-9400F,Intel,Coffee Lake Refresh,Coffee Lake Refresh,6,6,NO,2.9,4.1,65,LGA 1151,No,14,MID
