,ID,Name,Manufacturer,Microarchitecture,Core Family,Core Count,No of Threads,Multithreading,Core Clock,Boost Clock,TDP,Socket,Integrated Graphics,Lithography,Class
0,C1,Ryzen 3 1200,AMD,1,Summit Ridge,4,4,NO,3.1,3.4,65,AM4,No,14,ENTRY
1,C2,Ryzen 3 1300X,AMD,1,Summit Ridge,4,4,NO,3.5,3.7,65,AM4,No,14,ENTRY
2,C3,Ryzen 5 1400,AMD,1,Summit Ridge,4,8,YES,3.2,3.4,65,AM4,No,14,MID
3,C4,Ryzen 5 1500X,AMD,1,Summit Ridge,4,8,YES,3.5,3.7,65,AM4,No,14,MID
4,C5,Ryzen 5 1600,AMD,1,Summit Ridge,6,12,YES,3.2,3.6,65,AM4,No,14,MID
5,C6,Ryzen 5 1600X,AMD,1,Summit Ridge,6,12,YES,3.6,4.0,95,AM4,No,14,MID
6,C7,Ryzen 7 1700,AMD,1,Summit Ridge,8,16,YES,3.0,3.7,65,AM4,No,14,PRO
7,C8,Ryzen 7 1700X,AMD,1,Summit Ridge,8,16,YES,3.4,3.8,95,AM4,No,14,PRO
8,C9,Ryzen 7 1800X,AMD,1,Summit Ridge,8,16,YES,3.6,4.0,95,AM4,No,14,PRO
9,C10,Ryzen Threadripper 1900X,AMD,1,Whitehaven,8,16,YES,3.8,4.0,180,sTR4,No,14,PRO
10,C11,Ryzen Threadripper 1920X,AMD,1,Whitehaven,12,24,YES,3.5,4.0,180,sTR4,No,14,PRO
11,C12,Ryzen Threadripper 1950X,AMD,1,Whitehaven,16,32,YES,3.4,4.0,180,sTR4,No,14,PRO
12,C13,Ryzen 3 2200G,AMD,1,Raven Ridge,4,4,NO,3.5,3.7,65,AM4,Radeon Vega 8,14,ENTRY
13,C14,Ryzen 5 2400G,AMD,1,Raven Ridge,4,8,YES,3.6,3.9,65,AM4,Radeon Vega 11,14,MID
14,C15,Ryzen 3 1200 AF,AMD,2,Pinnacle Ridge,4,4,NO,3.1,3.4,65,AM4,No,12,ENTRY
15,C16,Ryzen 5 1600 AF,AMD,2,Pinnacle Ridge,6,12,YES,3.2,3.6,65,AM4,No,12,MID
16,C17,Ryzen 5 2600,AMD,2,Pinnacle Ridge,6,12,YES,3.4,3.9,65,AM4,No,12,MID
17,C18,Ryzen 5 2600X ,AMD,2,Pinnacle Ridge,6,12,YES,3.6,4.2,95,AM4,No,12,MID
