ID,Name,Manufacturer,Model,Interface,Chipset Manufacturer,GPU,Core Clock (Mhz),Boost Clock (Mhz),CUDA Cores,Effective Memory Clock (Mhz),Memory Interface Width,Memory Size (GB),Memory Type,HDMI,DisplayPort,DVI-D Dual-Link,TDP (W),Class
G1,Zotac GeForce RTX 3090 24 GB GAMING Trinity OC,Zotac,ZT-A30900D-10P,PCI Express 4.0,NVIDIA,GeForce RTX 3090,1400,1695,10496,19500,384-Bit,24,GDDR6X,1,3,0,350,PRO
G2,EVGA GeForce RTX 3090 24 GB FTW3 ULTRA GAMING,EVGA,24G-P5-3987-KR,PCI Express 4.0,NVIDIA,GeForce RTX 3090,1400,1800,10496,19500,384-Bit,24,GDDR6X,1,3,0,350,PRO
G3,Gigabyte GeForce RTX 3090 24 GB AORUS MASTER,Gigabyte,GV-N3090AORUS M-24GD,PCI Express 4.0,NVIDIA,GeForce RTX 3090,1400,1785,10496,19500,384-Bit,24,GDDR6X,1,3,0,350,PRO
G4,MSI GeForce RTX 3090 24 GB SUPRIM,MSI,RTX 3090 SUPRIM X 24G,PCI Express 4.0,NVIDIA,GeForce RTX 3090,1400,1875,10496,19500,384-Bit,24,GDDR6X,1,3,0,370,PRO
G5,Zotac GeForce RTX 3080 10 GB GAMING Trinity OC,Zotac,ZT-A30800J-10P,PCI Express 4.0,NVIDIA,GeForce RTX 3080,1440,1725,8704,19000,320-Bit,10,GDDR6X,1,3,0,320,PRO
G6,EVGA GeForce RTX 3080 10 GB FTW3 ULTRA GAMING,EVGA,10G-P5-3897-KR,PCI Express 4.0,NVIDIA,GeForce RTX 3080,1440,1800,8704,19000,320-Bit,10,GDDR6X,1,3,0,320,PRO
G7,Gigabyte GeForce RTX 3080 10 GB Vision OC,Gigabyte,GV-N3080VISION OC-10GD,PCI Express 4.0,NVIDIA,GeForce RTX 3080,1440,1800,8704,19000,320-Bit,10,GDDR6X,2,3,0,320,PRO
G8,MSI GeForce RTX 3080 10 GB SUPRIM X,MSI,RTX3080 SUPRIM X 10G,PCI Express 4.0,NVIDIA,GeForce RTX 3080,1440,1920,8704,19000,320-Bit,10,GDDR6X,1,3,0,350,PRO
G9,Zotac GeForce RTX 3070 8 GB GAMING Twin Edge OC,Zotac,ZT-A30700H-10P,PCI Express 4.0,NVIDIA,GeForce RTX 3070,1500,1755,5888,14000,256-Bit,8,GDDR6,1,3,0,220,MID
G10,EVGA GeForce RTX 3070 8 GB FTW3 ULTRA GAMING,EVGA,08G-P5-3767-KR,PCI Express 4.0,NVIDIA,GeForce RTX 3070,1500,1815,5888,14000,256-Bit,8,GDDR6,1,3,0,220,MID
G11,Gigabyte GeForce RTX 3070 8 GB Vision OC,Gigabyte,GV-N3070VISIONOC-8GD,PCI Express 4.0,NVIDIA,GeForce RTX 3070,1500,1815,5888,14000,256-Bit,8,GDDR6,2,2,0,220,MID
