ID,Name,Manufacturer,Socket,Form Factor,Chipset,Memory Max,Memory Type,Memory Slots,PCI-E x16 Slots,PCI-E x8 Slots,PCI-E x4 Slots,PCI-E x1 Slots,PCI Slots,M.1 Slot1,M.2 Slot2,M.2 Slot3,M.2 Slot4,M.2 Slot5,mSATA Slots,Onboard Ethernet,SATA 6 Gb/s,Onboard Video,USB 2.0,USB 3.2 Gen 1,USB 3.2 Gen 2,USB 3.2 Gen 2x2,Supports ECC,Wireless Networking,RAID Support,Class
M1,ASRock X570 Phantom Gaming 4S ATX AM4,ASRock,AM4,3,8,128,DDR4,4,2,0,0,2,0,2280/22110 M-key,2230 E-key,2280/22110 M-key,None,None,0,1 x 1000 Mbit/s,8,Depends on CPU,1,2,0,0,No,1,Yes,
M2,ASRock X570 Taichi ATX AM4,ASRock,AM4,3,8,128,DDR4,4,3,0,0,2,0,2242/2260/2280 M-key,2260/2280 M-key,2230/2242/2260/2280/22110 M-key,None,None,0,1 x 1000 Mbit/s,8,Depends on CPU,2,1,1,0,No,3,Yes,
M3,ASRock X570 Phantom Gaming 4 ATX,ASRock,AM4,3,8,128,DDR4,4,2,0,0,2,0,2230/2242/2260/2280/22110 M-key,2230 E-key,2230/2242/2260/2280/22110 M-key,None,None,0,1 x 1000 Mbit/s,8,Depends on CPU,1,2,0,0,No,1,Yes,
M4,ASRock X570 Steel Legend ATX AM4,ASRock,AM4,3,8,128,DDR4,4,2,0,0,3,0,2230/2242/2260/2280 M-key,2230/2242/2260/2280/22110 M-key,2230 E-key,None,None,0,1 x 1000 Mbit/s,8,Depends on CPU,2,2,0,0,No,1,Yes,
M5,ASRock X570 Phantom Gaming X ATX AM4,ASRock,AM4,3,8,128,DDR4,4,3,0,0,2,0,2242/2260/2280 M-key,2260/2280 M-key,2230/2242/2260/2280/22110 M-key,2230 E-key,None,0,1 x 1000 Mbit/s,8,Depends on CPU,2,1,1,0,No,3,Yes,
M6,ASRock X570 Steel Legend WiFi ax ATX AM4,ASRock,AM4,3,8,128,DDR4,4,2,0,0,3,0,2230/2242/2260/2280 M-key,2230/2242/2260/2280/22110 M-key,2230 E-key,None,None,0,1 x 1000 Mbit/s,8,Depends on CPU,2,2,0,0,No,3,Yes,
M7,ASRock X570 PHANTOM GAMING 4 WIFI ax ATX AM4,ASRock,AM4,3,8,128,DDR4,4,2,0,0,2,0,2230/2242/2260/2280/22110 M-key,2230/2242/2260/2280/22110 M-key,None,None,None,0,1 x 1000 Mbit/s,8,Depends on CPU,1,2,0,0,No,3,Yes,
M8,ASRock X570 PG Velocita ATX AM4,ASRock,AM4,3,8,128,DDR4,4,2,0,0,3,0,2230/2242/2260/2280 M-key,2230/2242/2260/2280 M-key,None,None,None,0,1 x 2.5 Gbit/s,8,Depends on CPU,2,2,1,0,No,3,Yes,
M9,ASRock X570 Pro4 ATX AM4,ASRock,AM4,3,8,128,DDR4,4,2,0,0,2,0,2230/2242/2260/2280/22110 M-key,2230 E-key,2230/2242/2260/2280/22110 M-key,None,None,0,1 x 1000 Mbit/s,8,Depends on CPU,1,2,0,0,No,1,Yes,
M10,ASRock X570 Taichi Razer Edition ATX AM4,ASRock,AM4,3,8,128,DDR4,4,3,0,0,1,0,2230/2242/2260/2280/22110 M-key,2230 E-key,2230/2242/2260/2280/22110 M-key,None,None,0,1 x 1000 Mbit/s,8,Depends on CPU,1,2,0,0,No,1,Yes,
M11,ASRock X570 Extreme4 ATX AM4,ASRock,AM4,3,8,128,DDR4,4,2,0,0,3,0,2230/2242/2260/2280 M-key,2230/2242/2260/2280 M-key,2230 E-key,None,None,0,1 x 1000 Mbit/s,8,Depends on CPU,2,2,1,0,No,1,Yes,
M12,ASRock X570 Extreme4 WiFi ax ATX AM4,ASRock,AM4,3,8,128,DDR4,4,2,0,0,3,0,2230/2242/2260/2280 M-key,2230/2242/2260/2280/22110 M-key,2230 E-key,None,None,0,1 x 1000 Mbit/s,8,Depends on CPU,2,2,1,0,No,3,Yes,
M13,ASRock X570 Extreme4 WiFi ax ATX AM4,ASRock,AM4,3,8,128,DDR4,4,2,0,0,3,0,2230/2242/2260/2280 M-key,2230/2242/2260/2280/22110 M-key,2230 E-key,None,None,0,1 x 1000 Mbit/s,8,Depends on CPU,2,2,1,0,No,3,Yes,
M14,Gigabyte X570 AORUS ELITE WIFI ATX AM4,Gigabyte,AM4,3,8,128,DDR4,4,2,0,0,0,0,2242/2260/2280/22110 M-key,2242/2260/2280/22110 M-key,None,None,None,0,1 x 1000 Mbit/s,6,Depends on CPU,2,2,1,0,No,2,Yes,
M15,Gigabyte X570 AORUS MASTER ATX AM4,Gigabyte,AM4,3,8,128,DDR4,4,3,0,0,1,0,2242/2260/2280/22110 M-key,2242/2260/2280/22110 M-key,2242/2260/2280 M-key,None,None,0,"1 x 1000 Mbit/s, 1 x 2.5 Gbit/s",6,No,2,2,1,0,No,3,Yes,
M16,Gigabyte X570 AORUS ELITE ATX AM4,Gigabyte,AM4,3,8,128,DDR4,4,2,0,0,2,0,2242/2260/2280/22110 M-key,2242/2260/2280/22110 M-key,None,None,None,0,1 x 1000 Mbit/s,6,Depends on CPU,2,2,1,0,No,1,Yes,
M17,Gigabyte X570 AORUS PRO WIFI ATX AM4,Gigabyte,AM4,3,8,128,DDR4,4,3,0,0,2,0,2242/2260/2280/22110 M-key,2242/2260/2280/22110 M-key,None,None,None,0,1 x 1000 Mbit/s,6,Depends on CPU,2,2,1,0,No,3,Yes,
M18,Gigabyte X570 AORUS ULTRA ATX AM4,Gigabyte,AM4,3,8,128,DDR4,4,3,0,0,2,0,2242/2260/2280/22110 M-key,2242/2260/2280/22110 M-key,None,None,None,0,1 x 1000 Mbit/s,6,Depends on CPU,2,2,1,0,No,3,Yes,
M19,Gigabyte X570 GAMING X ATX AM4,Gigabyte,AM4,3,8,128,DDR4,4,2,0,0,3,0,2242/2260/2280/22110 M-key,2242/2260/2280/22110 M-key,None,None,None,0,1 x 1000 Mbit/s,6,Depends on CPU,2,2,0,0,No,1,Yes,
M20,Gigabyte X570 UD ATX AM4,Gigabyte,AM4,3,8,128,DDR4,4,3,0,0,2,0,2242/2260/2280/22110 M-key,None,None,None,None,0,1 x 1000 Mbit/s,6,Depends on CPU,2,2,0,0,No,1,Yes,
M21,Gigabyte X570 AORUS PRO ATX AM4,Gigabyte,AM4,3,8,128,DDR4,4,3,0,0,2,0,2242/2260/2280/22110 M-key,2242/2260/2280/22110 M-key,None,None,None,0,1 x 1000 Mbit/s,6,Depends on CPU,2,2,1,0,No,1,Yes,
M22,Asus TUF GAMING X570-PLUS (WI-FI) ATX AM4,Asus,AM4,3,8,128,DDR4,4,2,0,0,2,0,2242/2260/2280/22110 M-key,2242/2260/2280/22110 M-key,None,None,None,0,1 x 1000 Mbit/s,8,Depends on CPU,2,1,0,0,No,2,Yes,
M23,Asus ROG Strix X570-E Gaming ATX AM4,Asus,AM4,3,8,128,DDR4,4,3,0,0,2,0,2242/2260/2280/22110 M-key,2242/2260/2280/22110 M-key,None,None,None,0,"1 x 1000 Mbit/s, 1 x 2.5 Gbit/s",8,Depends on CPU,2,1,1,0,No,3,Yes,
M24,Asus ROG Crosshair VIII Dark Hero ATX AM4,Asus,AM4,3,8,128,DDR4,4,3,0,0,1,0,2242/2260/2280 M-key,2242/2260/2280/22110 M-key,None,None,None,0,"1 x 1000 Mbit/s, 1 x 2.5 Gbit/s",8,Depends on CPU,2,1,1,0,No,3,Yes,
M25,Asus PRIME X570-PRO ATX AM4,Asus,AM4,3,8,128,DDR4,4,3,0,0,3,0,2242/2260/2280/22110 M-key,2242/2260/2280/22110 M-key,None,None,None,0,1 x 1000 Mbit/s,6,Depends on CPU,2,1,1,0,No,1,Yes,
M26,Asus ROG Crosshair VIII Hero (WI-FI) ATX AM4,Asus,AM4,3,8,128,DDR4,4,3,0,0,1,0,2242/2260/2280 M-key,2242/2260/2280/22110 M-key,None,None,None,0,"1 x 1000 Mbit/s, 1 x 2.5 Gbit/s",8,No,2,1,1,0,No,3,Yes,
M27,Asus ROG Crosshair VIII Hero ATX AM4,Asus,AM4,3,8,128,DDR4,4,3,0,0,1,0,2242/2260/2280 M-key,2242/2260/2280/22110 M-key,None,None,None,0,"1 x 1000 Mbit/s, 1 x 2.5 Gbit/s",8,No,2,1,1,0,No,1,Yes,
M28,Asus TUF GAMING X570-PLUS ATX AM4,Asus,AM4,3,8,128,DDR4,4,2,0,0,3,0,2242/2260/2280/22110 M-key,2242/2260/2280/22110 M-key,None,None,None,0,1 x 1000 Mbit/s,8,Depends on CPU,2,1,0,0,No,1,Yes,
M29,Asus ROG Crosshair VIII Formula ATX AM4,Asus,AM4,3,8,128,DDR4,4,3,0,0,1,0,2242/2260/2280 M-key,2242/2260/2280/22110 M-key,None,None,None,0,"1 x 1000 Mbit/s, 1 x 5 Gbit/s",8,No,2,2,1,0,No,3,Yes,
M30,Asus PRIME X570-P ATX AM4,Asus,AM4,3,8,128,DDR4,4,2,0,0,3,0,2242/2260/2280/22110 M-key,2242/2260/2280 M-key,None,None,None,0,1 x 1000 Mbit/s,6,Depends on CPU,2,2,0,0,No,1,Yes,
M31,Asus ROG Strix X570-F Gaming ATX AM4,Asus,AM4,3,8,128,DDR4,4,3,0,0,2,0,2242/2260/2280/22110 M-key,2242/2260/2280/22110 M-key,None,None,None,0,1 x 1000 Mbit/s,8,Depends on CPU,2,1,1,0,No,1,Yes,
M32,Asus TUF GAMING X570-PRO (WI-FI) ATX AM4,Asus,AM4,3,8,128,DDR4,4,2,0,0,2,0,2242/2260/2280/22110 M-key,2242/2260/2280/22110 M-key,None,None,None,0,1 x 2.5 Gbit/s,8,Depends on CPU,2,1,1,0,No,3,Yes,
M33,Asus Pro WS X570-ACE ATX AM4,Asus,AM4,3,8,128,DDR4,4,3,0,0,1,0,2242/2260/2280/22110 M-key,2242/2260/2280 M-key,None,None,None,0,1 x 1000 Mbit/s,4,Depends on CPU,2,2,0,0,No,1,Yes,
M34,Asus PRIME X570-P/CSM ATX AM4,Asus,AM4,3,8,128,DDR4,4,2,0,0,3,0,2242/2260/2280/22110 M-key,2242/2260/2280 M-key,None,None,None,0,1 x 1000 Mbit/s,6,Depends on CPU,2,2,0,0,No,1,Yes,
M35,ASRock B550 Phantom Gaming 4 ATX AM4,ASRock,AM4,3,5,128,DDR4,4,2,0,0,2,0,2260/2280/22110 M-key,2242/2260/2280 M-key,2230 E-key,None,None,0,1 x 1000 Mbit/s,6,Depends on CPU,2,1,0,0,No,1,Yes,
M36,ASRock B550 Pro4 ATX AM4,ASRock,AM4,3,5,128,DDR4,4,2,0,0,2,0,2260/2280/22110 M-key,2242/2260/2280 M-key,2230 E-key,None,None,0,1 x 1000 Mbit/s,6,Depends on CPU,2,1,0,0,No,1,Yes,
M37,ASRock B550 Phantom Gaming 4/ac ATX AM4,ASRock,AM4,3,5,128,DDR4,4,2,0,0,2,0,2260/2280/22110 M-key,2242/2260/2280 M-key,2230 E-key,None,None,0,1 x 1000 Mbit/s,4,Depends on CPU,2,1,0,0,No,2,Yes,
M38,ASRock B550 Steel Legend ATX AM4,ASRock,AM4,3,5,128,DDR4,4,2,0,0,2,0,2230/2242/2260/2280 M-key,2230/2242/2260/2280/22110 M-key,2230 E-key,None,None,0,1 x 2.5 Gbit/s,6,Depends on CPU,2,1,1,0,No,1,Yes,
M39,ASRock B550 Extreme4 ATX AM4,ASRock,AM4,3,5,128,DDR4,4,2,0,0,2,0,2230/2242/2260/2280 M-key,2230/2242/2260/2280/22110 M-key,2230 E-key,None,None,0,1 x 2.5 Gbit/s,6,Depends on CPU,2,1,1,0,No,1,Yes,
M40,ASRock B550 Taichi ATX AM4,ASRock,AM4,3,5,128,DDR4,4,3,0,0,2,0,2242/2260/2280 M-key,2242/2260/2280/22110 M-key,2230 E-key,None,None,0,1 x 2.5 Gbit/s,8,Depends on CPU,2,2,1,0,No,3,Yes,
M41,ASRock B550 PG Velocita ATX AM4,ASRock,AM4,3,5,128,DDR4,4,2,0,0,2,0,2230/2242/2260/2280 M-key,2230/2242/2260/2280/22110 M-key,2230 E-key,None,None,0,1 x 2.5 Gbit/s,6,Depends on CPU,2,1,1,0,No,1,Yes,
M42,ASRock B550 Taichi Razer Edition ATX AM4,ASRock,AM4,3,5,128,DDR4,4,3,0,0,2,0,2242/2260/2280 M-key,2242/2260/2280/22110 M-key,2230 E-key,None,None,0,1 x 2.5 Gbit/s,8,Depends on CPU,2,2,1,0,No,3,Yes,
M43,Gigabyte B550 VISION D ATX AM4,Gigabyte,AM4,3,5,128,DDR4,4,3,0,0,0,0,2242/2260/2280/22110 M-key,2242/2260/2280/22110 M-key,2230 E-key,None,None,0,2 x 1000 Mbit/s,6,Depends on CPU,2,1,0,0,No,3,Yes,
M44,Gigabyte B550 AORUS ELITE ATX AM4,Gigabyte,AM4,3,5,128,DDR4,4,3,0,0,1,0,2242/2260/2280/22110 M-key,2242/2260/2280/22110 M-key,None,None,None,0,1 x 2.5 Gbit/s,4,Depends on CPU,2,1,0,0,No,1,Yes,
M45,Gigabyte B550 AORUS PRO AC ATX AM4,Gigabyte,AM4,3,5,128,DDR4,4,3,0,0,2,0,2242/2260/2280/22110 M-key,2242/2260/2280/22110 M-key,None,None,None,0,1 x 2.5 Gbit/s,6,Depends on CPU,2,1,0,0,No,2,Yes,
