ID,Name,Manufacturer,Type,Speed,Timings,CAS Latency,Voltage,ECC,Kit Capacity,Individual Capacity,Modules,Heat Spreader,Class
R1,G.SKILL TridentZ RGB Series 32GB,G.SKILL,DDR4,3600,16-19-19-39,16,1.35,NO,32,16,2,YES,MID
R2,CORSAIR Vengeance LPX 32GB,CORSAIR,DDR4,5000,18-26-26-46,18,1.5,NO,32,16,2,YES,PRO
R3,G.SKILL TridentZ RGB Series 16GB ,G.SKILL,DDR4,4600,18-22-22-42,18,1.5,NO,16,8,2,YES,PRO
R4,CORSAIR Vengeance LPX 16GB,CORSAIR,DDR4,4600,18-26-26-46,18,1.45,NO,16,8,2,YES,PRO
R5,G.SKILL TridentZ RGB Series 16GB,G.SKILL,DDR4,4400,16-19-19-39,16,1.5,NO,16,8,2,YES,PRO
R6,Crucial Ballistix MAX RGB 32GB,Crucial,DDR4,4400,18-19-19-39,19,1.35,NO,32,16,2,YES,PRO
R7,CORSAIR Vengeance LPX 16GB,CORSAIR,DDR4,4600,19-26-26-46,19,1.5,NO,16,8,2,YES,PRO
R8,Patriot Viper Steel 16GB ,Patriot,DDR4,4400,19-19-19-39,19,1.45,NO,16,8,2,YES,PRO
R9,G.SKILL Trident Z Royal Series 16GB,G.SKILL,DDR4,4400,17-18-18-38,17,1.5,NO,16,8,2,YES,PRO
R10,CORSAIR Vengeance LPX 16GB,CORSAIR,DDR4,4333,19-26-26-46,19,1.4,NO,16,8,2,YES,PRO
R11,Team T-Force XTREEM 16GB,Team,DDR4,4300,18-20-20-44,18,1.45,NO,16,8,2,YES,PRO
R12,G.SKILL TridentZ RGB Series 16GB,G.SKILL,DDR4,4133,17-17-17-37,17,1.4,NO,16,8,2,YES,PRO
R13,G.SKILL TridentZ RGB Series 16GB,G.SKILL,DDR4,4266,17-18-18-38,17,1.45,NO,16,8,2,YES,PRO
R14,CORSAIR Vengeance RGB Pro 16GB,CORSAIR,DDR4,4266,19-26-26-46,19,1.4,NO,16,8,2,YES,PRO
R15,XPG SPECTRIX D50 RGB,XPG,DDR4,4133,19-23-23,19,1.35,NO,16,8,2,YES,PRO
R16,G.SKILL TridentZ RGB Series 32GB,G.SKILL,DDR4,4133,17-17-17-37,17,1.4,NO,32,8,4,YES,PRO
R17,CORSAIR Vengeance RGB Pro 32GB,CORSAIR,DDR4,4266,19-26-26-46,19,1.45,NO,32,8,4,YES,PRO
R18,Patriot Viper Steel 16GB,Patriot,DDR4,4133,19-21-21-41,19,1.35,NO,16,8,2,YES,PRO
R19,G.SKILL TridentZ Series 16GB,G.SKILL,DDR4,4266,19-19-19-39,19,1.4,NO,16,8,2,YES,PRO
R20,G.SKILL TridentZ RGB Series 64GB,G.SKILL,DDR4,4000,18-22-22-42,18,1.4,NO,64,32,2,YES,PRO
R21,CORSAIR Vengeance RGB Pro,CORSAIR,DDR4,4000,18-22-22-42,18,1.35,NO,32,8,4,YES,PRO
R22,G.SKILL TridentZ RGB Series 16GB,G.SKILL,DDR4,4000,15-16-16-36,15,1.5,NO,16,8,2,YES,PRO
R23,CORSAIR Vengeance RGB Pro 32GB,CORSAIR,DDR4,4000,19-23-23-45,19,1.35,NO,32,8,4,YES,PRO
R24,G.SKILL TridentZ RGB Series 16GB,G.SKILL,DDR4,4000,17-18-18-38,17,1.4,NO,16,8,2,YES,PRO
R25,G.SKILL TridentZ Series 32GB,G.SKILL,DDR4,3866,18-19-19-39,18,1.35,NO,32,8,4,YES,PRO
R26,G.SKILL Trident Z Neo Series 64GB,G.SKILL,DDR4,3800,18-22-22-42,18,1.4,NO,64,32,2,YES,PRO
R27,G.SKILL Trident Z Neo Series 32GB,G.SKILL,DDR4,3800,18-22-22-42,18,1.4,NO,32,8,4,YES,PRO
R28,CORSAIR Dominator Platinum RGB 128GB,CORSAIR,DDR4,3800,19-19-19-39,19,1.35,NO,128,16,8,YES,PRO
R29,G.SKILL TridentZ Series 64GB,G.SKILL,DDR4,3733,17-17-17-37,17,1.35,NO,64,8,8,YES,PRO
