ID,Name,Manufacturer,Type,Model,Interface,Capacity,RPM,Cache,Form Factor,Memory Components,Class
S1,SAMSUNG 980 PRO M.2 2280 2TB,SAMSUNG,SSD,MZ-V8P2T0B/AM,"PCI-Express Gen 4.0 x4, NVMe 1.3",2TB,,,M.2 2280,Samsung V-NAND,PRO
S2,"SAMSUNG 860 EVO Series 2.5"" 4TB",SAMSUNG,SSD,MZ-76E4T0B/AM,SATA 6.0Gb/s,4TB,,,"2.5""",3D NAND,PRO
S3,WD Black 4TB Performance Desktop Hard Disk Drive,WD,HDD,WD4005FZBX,SATA 6.0Gb/s,4TB,7200 RPM,256MB,"3.5""",,PRO
S4,WD Black 8TB Performance Internal Hard Drive,WD,HDD,WD8001FZBX,SATA 6.0Gb/s,8TB,7200 RPM,256MB,"3.5""",,PRO
S5,SEAGATE ST3000DM007 BARRACUDA 3TB,Seagate,HDD,ST3000DM007,SATA 6.0Gb/s,3TB,5400 RPM,256MB,"3.5""",,PRO
S6,WD Blue 3TB Desktop Hard Disk Drive,WD,HDD,WD30EZRZ,SATA 6.0Gb/s,3TB,5400 RPM,64MB,"3.5""",,PRO
S7,WD Black 2TB Performance Desktop Hard Disk Drive,WD,HDD,WD2003FZEX,SATA 6.0Gb/s,2TB,7200 RPM,64MB,"3.5""",,MID
S8,SAMSUNG 980 PRO M.2 2280 1TB,SAMSUNG,SSD,MZ-V8P1T0B/AM,"PCI-Express Gen 4.0 x4, NVMe 1.3",1TB,,,M.2 2280,Samsung V-NAND,MID
S9,Western Digital WD BLACK SN750 NVMe M.2 2280 1TB,WD,SSD,WDS100T3X0C,PCI-Express Gen 3.0 x4,1TB,,,M.2 2280,64-layer 3D NAND,MID
S10,Crucial MX500 1TB 3D NAND SATA 2.5 Inch,Crucial,SSD,CT1000MX500SSD1,SATA 6.0Gb/s,1TB,,,"2.5""",3D NAND,MID
S11,Seagate BarraCuda ST2000DM008 2TB,Seagate,HDD,ST2000DM008,SATA 6.0Gb/s,2TB,7200 RPM,256MB,"3.5""",,MID
S12,"SAMSUNG 870 EVO Series 2.5"" 1TB",SAMSUNG,SSD,MZ-77E1T0B/AM,SATA 6.0Gb/s,1TB,,,"2.5""",V-NAND,MID
S13,Seagate BarraCuda ST1000DM010 1TB,Seagate,HDD,ST1000DM010,SATA 6.0Gb/s,1TB,7200 RPM,64MB,"3.5""",,MID
S14,WD Black 1TB Performance Desktop Hard Disk Drive,WD,HDD,WD1003FZEX,SATA 6.0Gb/s,1TB,7200 RPM,64MB,"3.5""",,ENTRY
S15,SAMSUNG 970 EVO PLUS M.2 2280 500GB,SAMSUNG,SSD,MZ-V7S500B/AM,"PCI-Express Gen 3.0 x4, NVMe 1.3",500GB,,,M.2 2280,V-NAND 3-bit MLC,ENTRY
S16,Western Digital WD BLACK SN750 NVMe M.2 2280 500GB,WD,SSD,WDS500G3X0C,PCI-Express Gen 3.0 x4,500GB,,,M.2 2280,64-layer 3D NAND,ENTRY
S17,SAMSUNG 980 PRO M.2 2280 250GB,SAMSUNG,SSD,MZ-V8P250B/AM,"PCI-Express Gen 4.0 x4, NVMe 1.3",250GB,,,M.2 2280,Samsung V-NAND,ENTRY
S18,"SAMSUNG 860 Pro Series 2.5"" 256GB",SAMSUNG,SSD,MZ-76P256BW,SATA 6.0Gb/s,256GB,,,"2.5""",V-NAND 2-bit MLC,ENTRY
S19,"SAMSUNG 870 EVO Series 2.5"" 500GB",SAMSUNG,SSD,MZ-77E500B/AM,SATA 6.0Gb/s,500GB,,,"2.5""",V-NAND,ENTRY
S20,"SAMSUNG 860 EVO Series 2.5"" 500GB",SAMSUNG,SSD,MZ-76E500B/AM,SATA 6.0Gb/s,500GB,,,"2.5""",V-NAND 3-bit MLC,ENTRY
