ID,Name,Manufacturer,Type,Model,Interface,Capacity,RPM,Cache,Form Factor,Memory Components,Class
S1,SAMSUNG 980 PRO M.2 2280 2TB,SAMSUNG,2,MZ-V8P2T0B/AM,4,2000,,,M.2 2280,Samsung V-NAND,PRO
S2,"SAMSUNG 860 EVO Series 2.5"" 4TB",SAMSUNG,2,MZ-76E4T0B/AM,1,4000,,,"2.5""",3D NAND,PRO
S3,WD Black 4TB Performance Desktop Hard Disk Drive,WD,1,WD4005FZBX,1,4000,7200 RPM,256MB,"3.5""",,PRO
S4,WD Black 8TB Performance Internal Hard Drive,WD,1,WD8001FZBX,1,8000,7200 RPM,256MB,"3.5""",,PRO
S5,SEAGATE ST3000DM007 BARRACUDA 3TB,Seagate,1,ST3000DM007,1,3000,5400 RPM,256MB,"3.5""",,PRO
S6,WD Blue 3TB Desktop Hard Disk Drive,WD,1,WD30EZRZ,1,3000,5400 RPM,64MB,"3.5""",,PRO
S7,WD Black 2TB Performance Desktop Hard Disk Drive,WD,1,WD2003FZEX,1,2000,7200 RPM,64MB,"3.5""",,MID
S8,SAMSUNG 980 PRO M.2 2280 1TB,SAMSUNG,2,MZ-V8P1T0B/AM,4,1000,,,M.2 2280,Samsung V-NAND,MID
S9,Western Digital WD BLACK SN750 NVMe M.2 2280 1TB,WD,2,WDS100T3X0C,2,1000,,,M.2 2280,64-layer 3D NAND,MID
S10,Crucial MX500 1TB 3D NAND SATA 2.5 Inch,Crucial,2,CT1000MX500SSD1,1,1000,,,"2.5""",3D NAND,MID
S11,Seagate BarraCuda ST2000DM008 2TB,Seagate,1,ST2000DM008,1,2000,7200 RPM,256MB,"3.5""",,MID
S12,"SAMSUNG 870 EVO Series 2.5"" 1TB",SAMSUNG,2,MZ-77E1T0B/AM,1,1000,,,"2.5""",V-NAND,MID
S13,Seagate BarraCuda ST1000DM010 1TB,Seagate,1,ST1000DM010,1,1000,7200 RPM,64MB,"3.5""",,MID
S14,WD Black 1TB Performance Desktop Hard Disk Drive,WD,1,WD1003FZEX,1,1000,7200 RPM,64MB,"3.5""",,ENTRY
S15,SAMSUNG 970 EVO PLUS M.2 2280 500GB,SAMSUNG,2,MZ-V7S500B/AM,3,500,,,M.2 2280,V-NAND 3-bit MLC,ENTRY
S16,Western Digital WD BLACK SN750 NVMe M.2 2280 500GB,WD,2,WDS500G3X0C,2,500,,,M.2 2280,64-layer 3D NAND,ENTRY
S17,SAMSUNG 980 PRO M.2 2280 250GB,SAMSUNG,2,MZ-V8P250B/AM,4,250,,,M.2 2280,Samsung V-NAND,ENTRY
S18,"SAMSUNG 860 Pro Series 2.5"" 256GB",SAMSUNG,2,MZ-76P256BW,1,256,,,"2.5""",V-NAND 2-bit MLC,ENTRY
S19,"SAMSUNG 870 EVO Series 2.5"" 500GB",SAMSUNG,2,MZ-77E500B/AM,1,500,,,"2.5""",V-NAND,ENTRY
S20,"SAMSUNG 860 EVO Series 2.5"" 500GB",SAMSUNG,2,MZ-76E500B/AM,1,500,,,"2.5""",V-NAND 3-bit MLC,ENTRY
